Today''s Date,07/24/2020,Date of Test:,07/23/2020,Filename:,C:\Maccor\System\University at Buffalo # 1\Archive\GS_236_007A.059,Procedure,GS_236_007A.000,,SCap,1,C Rate
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time
94,0,2,3,2.455577778,0.29,0.00,0.12,0.94,D,1,7/23/2020 20:53
95,0,2,3,2.488911111,0.30,0.00,0.12,0.93,D,1,7/23/2020 20:55
96,0,2,3,2.522244444,0.30,0.00,0.12,0.93,D,1,7/23/2020 20:57
97,0,2,3,2.555577778,0.31,0.00,0.12,0.93,D,1,7/23/2020 20:59
98,0,2,3,2.588911111,0.31,0.00,0.12,0.92,D,1,7/23/2020 21:01
99,0,2,3,2.622244444,0.31,0.00,0.12,0.92,D,1,7/23/2020 21:03
100,0,2,3,2.655577778,0.32,0.00,0.12,0.92,D,1,7/23/2020 21:05
101,0,2,3,2.688911111,0.32,0.00,0.12,0.92,D,1,7/23/2020 21:07
102,0,2,3,2.722244444,0.33,0.00,0.12,0.91,D,1,7/23/2020 21:09
103,0,2,3,2.755577778,0.33,0.00,0.12,0.91,D,1,7/23/2020 21:11
104,0,2,3,2.788911111,0.33,0.00,0.12,0.91,D,1,7/23/2020 21:13
105,0,2,3,2.822244444,0.34,0.00,0.12,0.90,D,1,7/23/2020 21:15
106,0,2,3,2.855577778,0.34,0.00,0.12,0.90,D,1,7/23/2020 21:17
107,0,2,3,2.888911111,0.35,0.00,0.12,0.90,D,1,7/23/2020 21:19
108,0,2,3,2.922244444,0.35,0.00,0.12,0.89,D,1,7/23/2020 21:21
109,0,2,3,2.955577778,0.35,0.00,0.12,0.89,D,1,7/23/2020 21:23
110,0,2,3,2.988911111,0.36,0.00,0.12,0.88,D,1,7/23/2020 21:25
111,0,2,3,3.022244444,0.36,0.00,0.12,0.88,D,1,7/23/2020 21:27
112,0,2,3,3.055577778,0.37,0.00,0.12,0.88,D,1,7/23/2020 21:29
113,0,2,3,3.088911111,0.37,0.00,0.12,0.87,D,1,7/23/2020 21:31
114,0,2,3,3.122244444,0.37,0.00,0.12,0.87,D,1,7/23/2020 21:33
115,0,2,3,3.155577778,0.38,0.00,0.12,0.86,D,1,7/23/2020 21:35
